parking_id,name,distance_to_vw_m,num_stops,total_daily_trips,num_routes,nearest_stop_distance_m,stops_score,frequency_score,reliability_score,proximity_score,diversity_score,distance_score,accessibility_score,service_quality,reliability_class,rank_extended
84,"Location (35.0810, -85.2970)",15187.833946564699,12,720,1,628,6.15,2.51,100.0,36.5,8.33,98.12,28.6,Excellent - High Frequency,High Reliability,257
148,"Location (35.1304, -85.2352)",11235.591515982102,2,180,1,527,1.03,0.63,100.0,46.71,8.33,100.0,28.29,Excellent - High Frequency,Moderate Reliability,258
233,"Location (35.1246, -85.2368)",11037.288072366136,7,434,1,588,3.59,1.52,100.0,40.55,8.33,100.0,28.27,Excellent - High Frequency,High Reliability,259
32,"Location (35.1319, -85.2351)",11312.886276345926,2,180,1,547,1.03,0.63,100.0,44.69,8.33,100.0,27.98,Excellent - High Frequency,Moderate Reliability,260
441,"Location (35.1225, -85.2404)",11216.237747657638,14,854,1,698,7.18,2.98,100.0,29.42,8.33,100.0,27.94,Excellent - High Frequency,High Reliability,261
144,"Location (35.0997, -85.2429)",10546.21739821448,4,96,2,353,2.05,0.34,80.0,64.31,16.67,100.0,27.93,Good - Moderate Frequency,High Reliability,262
138,"Location (35.0630, -85.3218)",17513.336903520536,9,386,1,669,4.62,1.35,100.0,32.36,8.33,74.87,27.25,Excellent - High Frequency,High Reliability,263
201,"Location (35.0287, -85.2010)",8362.941929626348,9,932,1,707,4.62,3.26,100.0,28.51,8.33,100.0,27.24,Excellent - High Frequency,High Reliability,264
123,"Location (35.0117, -85.2427)",12527.047720566086,12,1242,1,758,6.15,4.34,100.0,23.36,8.33,100.0,27.18,Excellent - High Frequency,High Reliability,265
183,"Location (35.0733, -85.1997)",6321.051118763003,5,85,1,367,2.56,0.3,80.0,62.89,8.33,79.01,27.0,Good - Moderate Frequency,High Reliability,266
93,"Location (35.0978, -85.2685)",12789.157417632921,13,780,1,752,6.67,2.72,100.0,23.96,8.33,100.0,26.91,Excellent - High Frequency,High Reliability,267
311,"Location (35.0609, -85.3222)",17566.642525732477,5,234,1,716,2.56,0.82,100.0,27.6,8.33,74.33,25.86,Excellent - High Frequency,High Reliability,268
37,"Location (35.1008, -85.2344)",9828.951655446512,3,64,1,440,1.54,0.22,80.0,55.51,8.33,100.0,25.61,Good - Moderate Frequency,High Reliability,269
384,"Location (35.1421, -85.2378)",12155.829613041476,2,120,1,709,1.03,0.42,100.0,28.31,8.33,100.0,25.46,Excellent - High Frequency,Moderate Reliability,270
354,"Location (35.0058, -85.2325)",12198.095708150671,12,1241,1,875,6.15,4.33,100.0,11.53,8.33,100.0,25.4,Excellent - High Frequency,High Reliability,271
134,CCA lot,15699.55344386791,2,114,1,756,1.03,0.4,100.0,23.56,8.33,93.0,24.74,Excellent - High Frequency,Moderate Reliability,272
4,"Location (35.0168, -85.2999)",16831.13678409337,12,216,1,852,6.15,0.75,100.0,13.85,8.33,81.69,24.68,Excellent - High Frequency,High Reliability,273
122,"Location (35.1434, -85.2381)",12268.010550134717,2,120,1,778,1.03,0.42,100.0,21.33,8.33,100.0,24.42,Excellent - High Frequency,Moderate Reliability,274
366,"Location (35.1449, -85.2405)",12542.848434162248,2,120,1,779,1.03,0.42,100.0,21.23,8.33,100.0,24.4,Excellent - High Frequency,Moderate Reliability,275
26,"Location (35.1160, -85.2772)",14055.149087703587,6,360,1,863,3.08,1.26,100.0,12.74,8.33,100.0,23.89,Excellent - High Frequency,High Reliability,276
229,Oakwood Baptist Church Parking Lot,6615.814407029805,4,53,1,681,2.05,0.19,80.0,31.14,8.33,82.7,22.07,Good - Moderate Frequency,High Reliability,277
343,"Location (35.0770, -85.2041)",6710.698768889545,6,72,1,769,3.08,0.25,80.0,22.24,8.33,83.88,21.01,Good - Moderate Frequency,High Reliability,278
257,"Location (35.0748, -85.2029)",6602.972725072853,2,34,1,620,1.03,0.12,60.0,37.31,8.33,82.54,18.72,Fair - Basic Service,Moderate Reliability,279
181,"Location (35.1450, -85.2380)",12369.750211654045,1,60,1,918,0.51,0.21,80.0,7.18,8.33,100.0,18.1,Good - Moderate Frequency,Low Reliability,280
188,"Location (35.1420, -85.2350)",11942.771881321734,1,60,1,931,0.51,0.21,80.0,5.86,8.33,100.0,17.9,Good - Moderate Frequency,Low Reliability,281
324,"Location (35.0912, -85.2237)",8635.993054030803,1,17,1,444,0.51,0.06,40.0,55.11,8.33,100.0,17.25,Limited - Minimal Service,Low Reliability,282
14,"Location (35.1466, -85.2510)",13425.069605091669,1,60,1,989,0.51,0.21,80.0,0.0,8.33,100.0,17.02,Good - Moderate Frequency,Low Reliability,283
438,"Location (35.1021, -85.2307)",9544.66353434196,1,30,1,802,0.51,0.1,60.0,18.91,8.33,100.0,15.83,Fair - Basic Service,Low Reliability,284
234,"Location (35.1073, -85.2372)",10293.659366842465,1,30,1,852,0.51,0.1,60.0,13.85,8.33,100.0,15.07,Fair - Basic Service,Low Reliability,285
139,"Location (35.1081, -85.2368)",10281.217281283522,1,30,1,943,0.51,0.1,60.0,4.65,8.33,100.0,13.69,Fair - Basic Service,Low Reliability,286
94,"Location (35.0958, -85.2230)",8686.830403585926,1,17,1,834,0.51,0.06,40.0,15.67,8.33,100.0,11.33,Limited - Minimal Service,Low Reliability,287
192,"Location (35.0966, -85.2197)",8416.608636560028,1,17,1,879,0.51,0.06,40.0,11.12,8.33,100.0,10.65,Limited - Minimal Service,Low Reliability,288
