parking_id,name,distance_to_vw_m,num_stops,total_daily_trips,num_routes,nearest_stop_distance_m,stops_score,frequency_score,reliability_score,proximity_score,diversity_score,distance_score,accessibility_score,service_quality,reliability_class,rank_moderate
341,"Location (35.0373, -85.3118)",17108.255638288698,88,11642,9,55,55.35,48.35,100.0,92.94,75.0,78.92,69.78,Excellent - High Frequency,High Reliability,52
317,"Location (35.0377, -85.3131)",17212.887363914637,85,11981,9,77,53.46,49.76,100.0,90.12,75.0,77.87,69.31,Excellent - High Frequency,High Reliability,53
25,"Location (35.0486, -85.3163)",17232.03275302098,85,14433,10,299,53.46,59.95,100.0,61.62,83.33,77.68,68.92,Excellent - High Frequency,High Reliability,54
322,"Location (35.0542, -85.3069)",16281.397583265654,79,10979,11,79,49.69,45.6,100.0,89.86,91.67,87.19,68.75,Excellent - High Frequency,High Reliability,55
137,"Location (35.0505, -85.3152)",17093.898998065302,86,13831,11,376,54.09,57.44,100.0,51.73,91.67,79.06,67.68,Excellent - High Frequency,High Reliability,56
385,"Location (35.0453, -85.2959)",15487.343342288783,75,9279,11,71,47.17,38.54,100.0,90.89,91.67,95.13,66.15,Excellent - High Frequency,High Reliability,57
287,"Location (35.0529, -85.3128)",16839.151817133115,69,10582,11,111,43.4,43.95,100.0,85.75,91.67,81.61,66.06,Excellent - High Frequency,High Reliability,58
347,"Location (35.0544, -85.3102)",16575.195954255156,65,9549,11,43,40.88,39.66,100.0,94.48,91.67,84.25,65.46,Excellent - High Frequency,High Reliability,59
373,"Location (35.0540, -85.3125)",16785.73066389898,65,9814,11,105,40.88,40.76,100.0,86.52,91.67,82.14,64.59,Excellent - High Frequency,High Reliability,60
160,"Location (35.0471, -85.3177)",17390.384389220973,61,10847,10,100,38.36,45.05,100.0,87.16,83.33,76.1,64.51,Excellent - High Frequency,High Reliability,61
18,"Location (35.0379, -85.3148)",17355.78547869321,74,10490,8,100,46.54,43.57,100.0,87.16,66.67,76.44,64.45,Excellent - High Frequency,High Reliability,62
191,"Location (35.0469, -85.2948)",15347.210663359187,63,8819,11,45,39.62,36.63,100.0,94.22,91.67,96.53,64.19,Excellent - High Frequency,High Reliability,63
224,"Location (35.0470, -85.2966)",15500.740469863349,67,8902,11,138,42.14,36.97,100.0,82.28,91.67,94.99,63.14,Excellent - High Frequency,High Reliability,64
372,"Location (35.0364, -85.3057)",16594.150167871016,83,8474,7,95,52.2,35.2,100.0,87.8,58.33,84.06,62.61,Excellent - High Frequency,High Reliability,65
405,"Location (35.0361, -85.3092)",16916.238030758424,79,8500,7,78,49.69,35.3,100.0,89.99,58.33,80.84,62.34,Excellent - High Frequency,High Reliability,66
327,"Location (35.0551, -85.3114)",16669.476794884038,60,8848,10,86,37.74,36.75,100.0,88.96,83.33,83.31,62.14,Excellent - High Frequency,High Reliability,67
268,"Location (35.0417, -85.2999)",15931.2022056516,78,8953,6,74,49.06,37.18,100.0,90.5,50.0,90.69,61.99,Excellent - High Frequency,High Reliability,68
284,33,15640.676874620724,57,7558,11,64,35.85,31.39,100.0,91.78,91.67,93.59,61.31,Excellent - High Frequency,High Reliability,69
